artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
Cats 1981 Original London Cast;0.5985;0.4701;267072;0.376203;0.010260876;0.28305;-14.4343;0.20915;114.1288;0.35832;38.2;5;1;10;;;;;;;;
Cats 1983 Broadway Cast;0.862538462;0.441730769;287280;0.406807692;0.081158264;0.315215385;-10.69;0.176211538;103.0441538;0.268865385;31.53846154;5;1;26;;;;;;;;
Fiddler On The Roof” Motion Picture Chorus,0.8565714285714285,0.34828571428571425,328920.0,0.2865714285714285,0.024592948571428568,0.3257857142857143,-15.230714285714285,0.1185142857142857,77.37585714285714,0.3548571428571429,34.57142857142857,0,1,7;;;;;;;;;;;;;;;;;;;;;;
Fiddler On The Roof” Motion Picture Orchestra,0.884925925925926,0.4250740740740739,262890.96296296304,0.2457703703703704,0.07358727925925927,0.2754814814814815,-15.639370370370367,0.12320000000000005,88.66762962962964,0.3720296296296296,34.407407407407405,0,1,27;;;;;;;;;;;;;;;;;;;;;;
Joseph And The Amazing Technicolor Dreamcoat 1991 London Cast;0.510714286;0.467142857;270436.1429;0.488285714;0.009400291;0.195;-10.23671429;0.098542857;122.8358571;0.482285714;42;5;1;7;;;;;;;;
Joseph And The Amazing Technicolor Dreamcoat 1992 Canadian Cast;0.591166667;0.484333333;218504.5;0.300608333;0.007042273;0.176066667;-18.5795;0.104958333;122.5178333;0.4245;33.16666667;9;1;24;;;;;;;;
Mama Helen Teagarden;0.725;0.637;135533;0.512;0.186;0.426;-20.615;0.21;134.819;0.885;0;8;1;2;;;;;;;;
Test for Victor Young;0.927;0.734;175693;0.474;0.0762;0.737;-10.544;0.256;132.788;0.902;3;10;1;2;;;;;;;;
Weird Al Yankovic;0.186820566;0.650792453;218352.9623;0.693188679;4.49E-05;0.160926415;-9.691150943;0.082275472;132.8766038;0.764584906;32.86792453;9;1;106;;;;;;;;
$0dg0d;0.11;0.732;160171;0.822;9.05E-06;0.154;-5.387;0.155;141.948;0.74;0;7;0;2;;;;;;;;
$NOT;0.458166667;0.826666667;146886.3333;0.518666667;7.11E-06;0.201683333;-8.713166667;0.27255;90.72883333;0.42675;74.16666667;0;1;6;;;;;;;;
$atori Zoom;0.239;0.883;141519;0.625;0;0.0765;-4.098;0.245;126.677;0.871;69;6;1;2;;;;;;;;
$tar$eed;0.0375;0.923;130375;0.172;0.0202;0.0827;-15.646;0.385;100.046;0.176;0;10;0;4;;;;;;;;
$uicideBoy$;0.154637101;0.778550725;149915.2899;0.625869565;0.024720476;0.209223188;-6.553898551;0.149985507;117.679087;0.242772464;65.33333333;1;1;69;;;;;;;;
'In The Heights' Original Broadway Company;0.626666667;0.547;387293.6667;0.392666667;0;0.26;-8.348666667;0.3121;171.1676667;0.509333333;52;5;1;3;;;;;;;;
'Legally Blonde' Ensemble;0.598;0.629666667;208493.6667;0.51;0;0.251;-10.52666667;0.607666667;95.09033333;0.516333333;51.66666667;2;1;3;;;;;;;;
'Til Tuesday;0.10555625;0.557125;255213.5;0.61225;0.023300253;0.1275875;-9.638125;0.03215;103.08025;0.532625;33.875;0;1;16;;;;;;;;
((( O )));0.847;0.41;311837;0.169;0.00327;0.117;-11.422;0.0485;89.494;0.208;66;3;1;2;;;;;;;;
(Con La Participación de Marc Anthony);0.538;0.731;361440;0.794;2.39E-05;0.0736;-4.182;0.0408;88.003;0.873;42;5;1;2;;;;;;;;
(EM);0.446;0.462;221832;0.542;0.0956;0.97;-9.161;0.0308;99.403;0.547;4;6;1;4;;;;;;;;
(G)I-DLE;0.026794;0.534;193085.6;0.8298;2.33E-06;0.16888;-3.9508;0.06104;130.4178;0.3534;76.6;6;0;5;;;;;;;;
